"first","second","Freq"
"a","bunch",39
"a","bunny",1
"a","burden",4
"a","burger",5
"a","burka",2
"a","burlesque",1
"a","burly",1
"a","burst",1
"a","bus",12
"a","bush",3
"a","business",25
"a","businesswoman",1
"a","buskins",1
"a","busy",14
"a","button",6
"a","buy",1
"a","buyer",5
"a","buyout",1
"a","buzz",3
"a","by",12
"a","ca",4
"a","cab",4
"a","cabin",3
"a","cacao",1
"a","cacophony",1
"a","cadilladrink",1
"a","cafe",4
"a","cake",5
"a","calculated",2
"a","calendar",6
"a","caliban",1
"a","call",19
"a","calm",2
"a","calorie",2
"a","camel",1
"a","camera",3
"a","camp",4
"a","campaign",12
"a","campus",2
"a","can",10
"a","candidate",7
"a","cane",3
"a","canonization",1
"a","canyon",2
"a","cap",3
"a","capable",1
"a","capacity",1
"a","captured",1
"a","car",34
"a","caramel",1
"a","card",13
"a","cardinal",1
"a","career",17
"a","carnegie",2
"a","carrier",1
"a","cars",1
"a","cartoon",3
"a","cartoonist",1
"a","case",18
"a","cash",6
"a","cask",1
"a","casserole",2
"a","cast",5
"a","cat",9
"a","catchall",2
"a","catchy",2
"a","category",2
"a","cautious",1
"a","cdvd",1
"a","cecelia",1
"a","celebration",5
"a","cell",5
"a","centenarian",1
"a","centrifuge",1
"a","century",5
"a","ceremony",3
"a","certain",43
"a","chair",4
"a","chalk",2
"a","challenge",21
"a","champ",4
"a","chance",104
"a","chandelier",2
"a","change",13
"a","chantilly",1
"a","chapter",2
"a","character",11
"a","characters",1
"a","charge",7
"a","charity",2
"a","charmed",1
"a","charming",2
"a","chart",2
"a","chassis",1
"a","chat",2
"a","chauvinist",2
"a","cheap",3
"a","cheating",1
"a","check",8
"a","cheering",1
"a","cheerleader",1
"a","cheese",2
"a","chemical",2
"a","cherry",4
"a","cheshire",1
"a","chest",1
"a","chicken",10
"a","chief",2
"a","chihotel",1
"a","child",69
"a","childhood",2
"a","childish",1
"a","childishly",1
"a","children",2
"a","chimp",1
"a","china",2
"a","chip",2
"a","chipboard",1
"a","choice",14
"a","choosy",1
"a","chore",2
"a","christmas",6
"a","chronicondition",1
"a","chronicutter",1
"a","chronimental",1
"a","churchill",1
"a","cinematifashion",1
"a","circle",8
"a","circuitous",1
"a","cite",1
"a","citron",1
"a","city",20
"a","civil",6
"a","claim",7
"a","clam",2
"a","class",19
"a","classical",2
"a","classicenter",1
"a","classifying",1
"a","classii",1
"a","classiopera",1
"a","classiquest",1
"a","clatter",1
"a","claustrophobiand",1
"a","clean",9
"a","clear",16
"a","clever",2
"a","cliche",1
"a","click",1
"a","client",11
"a","cliff",6
"a","climax",1
"a","clip",5
"a","cloche",1
"a","clock",3
"a","clone",1
"a","close",20
"a","closed",3
"a","closer",2
"a","closet",1
"a","closeup",1
"your","reply",1
"your","reservation",1
"your","reservations",1
"your","resolutions",1
"your","responses",1
"your","rest",1
"your","restaurant",1
"your","review",1
"your","robe",1
"your","roku",1
"your","romantilife",1
"your","roommate",1
"your","roommates",1
"your","rope",1
"your","roster",1
"your","rs",1
"your","runaway",1
"your","safety",1
"your","sake",1
"your","sat",1
"your","saying",3
"your","scar",1
"your","scene",1
"your","scentsy",1
"your","screen",1
"your","season",1
"your","secrets",2
"your","security",1
"your","see",1
"your","semester",1
"your","senior",2
"your","service",6
"your","sexuality",1
"your","shift",1
"your","shirt",1
"your","short",4
"your","shorty",1
"your","show",8
"your","shows",2
"your","sign",1
"your","simony",1
"your","single",1
"your","sketchfest",1
"your","skittles",1
"your","skull",1
"your","small",2
"your","smart",1
"your","snack",1
"your","socks",1
"your","someone",1
"your","sop",1
"your","sounds",1
"your","source",1
"your","speaking",1
"your","special",1
"your","speech",1
"your","spirit",1
"your","spot",2
"your","spouses",1
"your","spring",3
"your","squad",1
"your","st",1
"your","stalkers",1
"your","stall's",1
"your","standing",1
"your","standpoints",1
"your","stay",1
"your","staying",1
"your","stint",1
"your","stomach",4
"your","stores",1
"your","strategy",1
"your","strength",1
"your","stuck",1
"your","students",1
"your","stuff",1
"your","stunning",1
"your","styles",1
"your","summer",2
"your","sundae",1
"your","swag",1
"your","sweetheart",1
"your","taboos",1
"your","tahoe",1
"your","talented",1
"your","talk",1
"your","talkie",1
"your","talking",2
"your","taste",1
"your","tb",2
"your","teacher",1
"your","ted",1
"your","telecommute",1
"your","tempting",1
"your","terrifies",1
"your","texts",2
"your","the",6
"your","their",1
"your","things",1
"your","thinking",1
"your","thirst",2
"your","three",1
"your","tic",1
"your","ticket",1
"your","tickets",2
"your","tifor",1
"your","timeline",3
"your","titanipiece",1
"your","toe",1
"your","too",1
"your","tour",1
"your","traffiis",1
"your","train",2
"your","travels",1
"your","trick",1
"your","trip",3
"your","trivia",1
"your","trouble",1
"your","truck",1
"your","trying",2
"your","tulips",1
"your","turnout",1
"your","tv",1
"your","tweet",10
"your","tweets",13
"your","twitter",13
"your","type",1
"your","ugly",1
"your","ultimate",2
"your","universe",1
"your","until",1
"your","up",2
"your","user",2
"your","valentine",1
"your","values",2
"your","vast",1
"your","vegans",1
"your","veins",1
"your","video",6
"your","videos",2
"your","villon",1
"your","vitamins",1
"your","vocals",1
"your","vocatives",1
"your","wall",2
"your","watch",1
"your","waterborne",1
"your","waterproof",1
"your","wedding",1
"your","welcome",9
"your","well",2
"your","were",1
"your","white",1
"your","who",1
"your","wildest",2
"your","windows",2
"your","wines",1
"your","wireless",1
"your","wishes",2
"your","with",1
"your","word",4
"your","working",1
"your","works",1
"your","world",1
"your","worries",1
"your","write",1
"your","xbox",2
"your","years",1
"your","yoga",1
"your","yr",1
"yours","get",1
"yours","ice",1
"yours","is",2
"yours","r",1
"yours","the",1
"yours","too",2
"yours","was",1
"yours","wrapping",1
"yourself","already",1
"yourself","around",1
"yourself","as",1
"yourself","by",2
"yourself","chat",1
"yourself","enough",1
"yourself","even",1
"yourself","first",1
"yourself","free",1
"yourself","has",1
"yourself","i",1
"yourself","instagram",1
"yourself","learning",1
"yourself","leave",1
"yourself","locked",1
"yourself","look",1
"yourself","non",1
"yourself","out",1
"yourself","st",1
"yourself","stops",1
"yourself","this",1
"yourself","trying",1
"yourself","tweeted",1
"yourself","up",3
"yourself","updated",1
"yourself","warned",1
"yourself","well",1
"yourself","yous",1
"yourselves","this",1
"yous","blessings",1
"yous","go",1
"yous","going",1
"yous","know",1
"yous","like",1
"yous","made",1
"yous","mom",1
"yous","please",1
"yous","want",1
"yous","will",1
"yous","yous",1
"youth","build",1
"youth","choral",1
"youth","culture",1
"youth","haha",1
"youth","have",1
"youth","participants",1
"youth","radio",1
"youth","s",1
"youth","t",1
"youths","do",1
"youths","is",1
"youtube","watch",1
"ypf","tech",1
"yr","a",1
"yr","album",1
"yr","amazing",2
"yr","angel",1
"yr","angle",1
"yr","annoying",1
"yr","at",1
"yr","autograph",1
"yr","baby",2
"yr","back",1
"yr","backround",1
"yr","bad",1
"yr","beautiful",1
"yr","being",1
"yr","better",1
"yr","bf",1
"yr","biggest",2
"yr","birthday",1
"yr","body",1
"yr","bottom",1
"yr","brackets",1
"yr","brags",1
"yr","brain",1
"yr","business",1
"yr","camera",1
"yr","capable",1
"yr","career",1
"yr","cat",1
"yr","choices",1
"yr","colds",1
"yr","crazy",1
"yr","cycles",1
"yr","daughter",1
"yr","day",1
"yr","dessert",1
"yr","donation",1
"yr","ears",1
"yr","end",1
"yr","ended",1
"yr","experienced",1
"yr","fan",1
"yr","fella",1
"yr","first",1
"yr","follows",1
"yr","friday",1
"yr","friends",1
"yr","girl",1
"yr","going",2
"yr","gonna",2
"yr","good",1
"yr","gorgeous",1
"yr","green",1
"yr","hand",1
"yr","happiness",1
"yr","head",1
"yr","how",1
"yr","idol",1
"yr","in",1
"yr","is",1
"yr","kalb",1
"yr","kids",1
"yr","know",1
"yr","last",1
"yr","life",1
"yr","light",1
"yr","like",1
"yr","looks",1
"yr","man",1
"yr","mom",1
"yr","mouth",1
"yr","movies",1
"yr","musiand",1
"yr","musiis",1
"yr","name",6
"yr","nephew",1
"yr","new",1
"yr","nose",1
"yr","not",4
"yr","of",2
"yr","old",13
"yr","on",2
"yr","one",1
"yr","own",3
"yr","page",1
"yr","perfect",1
"yr","perspective",1
"yr","phone",1
"yr","pin",1
"yr","plate",1
"yr","prayers",1
"yr","profile",1
"yr","project",1
"yr","quotes",1
"yr","ready",1
"yr","really",2
"yr","rhymes",1
"yr","ridiculous",1
"yr","right",1
"yr","rt",1
"yr","search",1
"yr","self",1
"yr","serious",1
"yr","service",1
"yr","show",1
"yr","sinuses",1
"yr","sis",1
"yr","skin",1
"yr","so",4
"yr","social",1
"yr","step",1
"yr","still",2
"yr","street",1
"yr","suppose",1
"yr","tears",1
"yr","teeth",1
"yr","the",2
"yr","thoughts",1
"yr","tiara",1
"yr","tweet",1
"yr","tweets",1
"yr","twitter",2
"yr","utube",1
"yr","veteran",1
"yr","videos",2
"yr","vote",1
"yr","walls",1
"yr","way",2
"yr","wearing",1
"yr","web",1
"yr","welcome",4
"yr","whack",1
"yr","white",1
"yr","with",1
"yr","woman",1
"yr","write",1
"yr","wrong",1
"yrs","a",1
"yrs","ago",4
"yrs","and",1
"yrs","baby",1
"yrs","exp",1
"yrs","for",1
"yrs","of",2
"yrs","watching",1
"yrs","y",1
"yrs","yrs",1
"yt","video",1
"yuccas","the",1
"yuck","totally",1
"yuk","mouth",1
"yukon","potatoes",1
"yum","antioxidants",1
"yum","indeed",1
"yum","ll",1
"yum","regent",1
"yum","sun",1
"yummy","as",1
"yummy","rt",1
"yummy","seasonal",1
"yummy","veggies",1
"yummy","yum",1
"yummy","yummy",1
"yunnan","li",1
"yup","and",2
"yup","crazy",1
"a","cloud",2
"a","cloven",1
"a","clown",3
"a","club",5
"a","clue",7
"a","cm",4
"a","coach",5
"a","coal",3
"a","coarse",2
"a","coastal",1
"a","coat",2
"a","cockup",1
"a","coffee",7
"a","cohort",1
"a","coil",1
"a","colander",1
"a","cold",19
"a","collaboration",2
"a","collar",1
"a","colleague",1
"a","collection",11
"a","collective",4
"a","college",15
"a","collie",1
"a","colon",1
"a","colour",3
"a","com",1
"a","coma",2
"a","combination",15
"a","combo",3
"a","comedy",4
"a","comet",1
"a","comiabout",1
"a","cominovel",1
"a","comistrip",1
"a","command",2
"a","commemoration",1
"a","comment",12
"a","commercial",5
"a","commitment",5
"a","common",14
"a","communicator",2
"a","community",21
"a","compact",1
"a","companion",4
"a","company",15
"a","comparison",4
"a","compassionate",1
"a","competition",6
"a","competitive",3
"a","compilation",1
"a","complaint",8
"a","complete",16
"a","completely",9
"a","complex",4
"a","complicated",3
"a","complimentary",3
"a","comprehensive",5
"a","computer",10
"a","concept",3
"a","concern",1
"a","concession",1
"a","condemnation",1
"a","condition",4
"a","condo",2
"a","conference",13
"a","confident",2
"a","conflict",2
"a","confluence",2
"a","congruent",1
"a","connecting",2
"a","connection",3
"a","conniption",1
"a","conscious",3
"a","consistent",2
"a","console",1
"a","constant",8
"a","constantly",2
"a","constructiveness",1
"a","consultancy",1
"a","consumer",6
"a","contact",2
"a","container",2
"a","contemporary",2
"a","contest",4
"a","context",1
"a","continuing",2
"a","continuous",2
"a","contract",14
"a","contradiction",1
"a","contributor",4
"a","controlling",2
"a","convention",2
"a","conversation",10
"a","convicted",2
"a","convincing",1
"a","cookie",3
"a","cool",12
"a","cooler",2
"a","cooling",1
"a","cooperative",1
"a","coos",1
"a","cop",5
"a","copies",1
"a","copper",1
"a","copy",26
"a","core",3
"a","cork",2
"a","corner",7
"a","cornerstone",1
"a","coronary",2
"a","coroner",2
"a","corporation",3
"a","correlation",1
"a","corresponding",1
"a","corrupt",2
"a","corset",1
"a","cost",3
"a","costume",2
"a","cotton",2
"a","could",1
"a","counselor",4
"a","counter",1
"a","counterattack",1
"a","country",11
"a","county",5
"a","couple",151
"a","course",6
"a","court",10
"a","couture",1
"a","cover",3
"a","cow",5
"a","cowboy",2
"a","cowgirl",1
"a","cowshed",1
"a","crab",1
"a","cracker",1
"a","craft",4
"a","craftier",1
"a","crafting",1
"a","crane",1
"a","crap",1
"a","craving",1
"a","crazy",12
"a","created",1
"a","creative",3
"a","credit",9
"a","crisis",4
"a","crisp",2
"a","crispy",1
"a","criteria",2
"a","critiof",1
"a","crocheted",1
"a","crook",1
"a","crop",3
"a","cross",3
"a","crosses",1
"a","crowbar",1
"a","crowd",11
"a","crowded",2
"a","crown",1
"a","crucial",2
"a","crude",3
"a","crumble",1
"a","crunchy",1
"a","crusade",1
"a","crying",2
"a","cube",1
"a","cubicle",2
"a","cuisine",1
"a","culminating",1
"a","cult",3
"a","cultural",1
"a","culture",9
"a","cumulative",2
"a","cup",20
"a","cupboard",1
"a","cupcake",6
"a","curacy",1
"a","cure",4
"a","curious",1
"a","current",4
"a","curse",2
"a","custom",5
"a","customer",8
"a","cut",7
"a","cute",13
"a","cycle",3
"a","dad",3
"a","daddy",2
"a","daily",19
"a","dance",3
"a","danger",3
"a","dangerous",4
"a","daring",1
"a","dark",15
"a","darkness",1
"a","dash",3
"a","date",19
"a","daughter",6
"a","daunting",2
"a","davies",1
"a","dawdler",1
"a","day",112
"a","days",4
"a","daze",1
"a","dazed",1
"a","dazzling",3
"a","dd",2
"a","deadline",6
"a","deal",16
"a","dear",3
"a","debonair",1
"a","decade",25
"a","decent",22
"a","deciding",1
"a","decision",13
"a","decisive",2
"a","declaration",2
"a","declared",1
"a","dedicated",3
"a","deduction",1
"a","deep",23
"a","deeply",5
"a","deer",2
"a","default",3
"a","defender",3
"a","defensive",1
"a","deferral",1
"a","defining",1
"a","definite",2
"a","definitive",1
"a","deforestation",1
"a","deg",1
"a","degree",8
"a","deli",1
"a","deliberate",2
"a","delicateness",1
"a","delicious",8
"a","deliciously",2
"a","delight",1
"a","delightful",3
"a","deluge",1
"a","demand",2
"a","democracy",1
"a","demonstration",1
"a","dense",1
"a","denser",4
"a","dent",2
"a","dental",1
"a","departure",1
"a","depression",2
"a","deranged",1
"a","descending",1
"a","description",3
"a","desert",5
"a","design",4
"a","designer",3
"a","desk",2
"a","dessert",2
"a","destination",2
"a","detail",1
"a","detailed",1
"a","determine",1
"a","detroit",2
"a","devastating",3
"a","devastatingly",1
"a","developed",1
"a","developing",2
"a","development",2
"a","device",4
"a","dialogue",1
"a","diamond",3
"a","diaspora",1
"a","dice",2
"a","dickens",1
"a","didactiargument",1
"a","diesel",1
"a","diet",8
"a","difference",16
"a","different",76
"a","differnet",1
"a","difficult",9
"a","digit",1
"a","digital",3
"a","dignified",1
"a","dimpled",1
"a","diner",2
"a","dingus",1
"a","dining",1
"a","dinner",7
"a","diploma",1
"a","diplomatinote",1
"a","direct",6
"a","direction",3
"a","directness",1
"a","director",3
"a","dirigible",1
"a","dirt",2
"a","disability",4
"a","disadvantage",2
"a","disagreement",1
"a","disappointment",1
"a","disarming",1
"a","disaster",7
"a","discharge",1
"a","discount",5
"a","discounted",1
"a","discovery",1
"a","discussion",5
"a","disfeaturing",1
"a","dish",5
"a","display",1
"a","disposable",1
"a","dispriest",1
"a","dissenting",1
"a","distance",4
"a","distant",4
"a","distinct",4
"a","distinction",2
"a","distorted",1
"a","diverse",1
"a","divorce",5
"a","doberman",1
"a","doctor",12
"a","document",2
"a","documentary",4
"a","dodgers",1
"a","dodoma",1
"a","doe",2
"a","dog",21
"a","dollar",4
"a","domestiservice",1
"a","dominoes",1
"a","don't",2
"a","donation",5
"a","door",6
"a","doorbell",1
"a","dork",4
"a","dorm",1
"a","douala",1
"a","double",19
"a","doubt",7
"a","douche",2
"a","dough",2
"a","downer",1
"a","downside",1
"a","downtown",3
"a","dozen",27
"a","dr",2
"a","draft",3
"a","drafty",1
"a","drag",4
"a","dragon",2
"a","drain",1
"a","drama",3
"a","dramatiand",1
"a","dramatiarms",1
"a","dramatiat",1
"a","dramatization",1
"a","draw",2
"a","drawer",1
"a","drawing",3
"a","dream",27
"a","dreamer",2
"a","dreary",1
"a","dress",6
"a","dried",1
"a","drink",15
"a","drive",8
"a","drivers",1
"a","driveway",2
"a","drone",1
"a","drop",4
"a","drum",1
"a","drummer",1
"a","dry",11
"a","duck",3
"a","duct",2
"a","duet",3
"a","duffer",1
"a","duke",1
"a","dull",7
"a","dump",1
"a","duration",1
"a","dutch",1
"a","dvorak",1
"a","dynamibio",1
"a","dynamics",1
"a","dynamithat",1
"a","ed",2
"a","empowering",1
"a","enfan",1
"a","euro",1
"a","ex",1
"a","eyeball",1
"yup","follow",1
"yup","he",1
"yup","i",3
"yup","right",1
"yup","runs",1
"yup","you're",2
"yurt","choice",1
"yurt","does",1
"yurt","hill",1
"yurt","my",1
"yurt","pretty",1
"yurt","skinny",1
"yurt","ugly",1
"z","is",1
"z","new",1
"z","or",1
"z","taught",1
"z","that",1
"z","true",1
"z","will",1
"z","z",1
"zanuck","are",1
"zanuck","how",1
"zany","hair",1
"zany","is",1
"zany","mali",1
"zany","polo",1
"zapped","sergio",1
"zealand","or",1
"zelma","is",1
"zen","e",1
"zen","is",1
"zeolite","crepe",1
"zero","chance",1
"zero","coverage",1
"zero","energy",1
"zero","news",1
"zero","says",1
"zero","ts",1
"zest","chicken",1
"zeta","wine",1
"zimmerman","charged",1
"zimmerman","has",1
"zimmerman","this",1
"zine","challenge",1
"zine","fest",1
"zines","from",1
"zinfandel","is",1
"zingy","is",1
"zinlozenges","for",1
"zionist","us",1
"zip","car",1
"zip","records",1
"zits","does",1
"zits","join",1
"zoe","clarke",1
"zoe","is",1
"zoe","says",1
"zombie","moms",1
"zombie","norms",1
"zombie","shark",1
"zombie","wish",1
"zombies","as",1
"zombies","hanging",1
"zombies","outside",1
"zombies","piranha",1
"zone","aldan",1
"zone","at",1
"zone","blocking",1
"zone","but",1
"zone","cookbook",1
"zone","difference",1
"zone","here",1
"zone","lamina",1
"zone","may",1
"zone","thing",1
"zone","w",1
"zoo","has",1
"zoo","i",1
"zoo","lander",1
"zoo","tomorrow",1
"zoo","with",1
"zoology","location",1
"zoom","will",1
"zuni","rt",1
"zydeco","tomorrow",1
"zzz","bird",1
"zzz","down",1
"zzz","or",1
"zzz","p",1
"a","fable",1
"a","fabricated",1
"a","fabulous",11
"a","face",2
"a","facebook",6
"a","fact",9
"a","factor",13
"a","fad",3
"a","faint",2
"a","fair",10
"a","fairly",11
"a","faithful",4
"a","fake",7
"a","falcon",1
"a","falling",2
"a","false",5
"a","familiar",3
"a","family",44
"a","famine",1
"a","fan",38
"a","fancy",2
"a","fantastiarticle",1
"a","fantastibook",1
"a","fantastiemulate",1
"a","fantastiever",1
"a","fantastifestival",1
"a","fantastigame",1
"a","fantastilegal",1
"a","fantastimovie",1
"a","fantastinew",1
"a","fantastiselection",1
"a","fantastiski",1
"a","fantastiweek",1
"a","fantasy",4
"a","far",7
"a","farce",1
"a","farm",4
"a","farmer",2
"a","farmers",1
"a","fascinating",5
"a","fashion",2
"a","fast",5
"a","fateful",1
"a","father",8
"a","fathers",1
"a","faux",1
"a","favorite",13
"a","favoritism",2
"a","feast",1
"a","feather",1
"a","feature",4
"a","federal",29
"a","feeble",2
"a","feel",1
"a","feeling",20
"a","feint",1
"a","fellow",11
"a","felony",2
"a","felted",1
"a","female",9
"a","femme",1
"a","fence",6
"a","fermented",1
"a","fervent",2
"a","festive",1
"a","few",444
"a","fib",1
"a","fiction",1
"a","fictitious",1
"a","field",17
"a","fifth",4
"a","fighting",1
"a","film",15
"a","final",12
"a","finalist",5
"a","financial",6
"a","fine",28
"a","finger",5
"a","finish",2
"a","finished",1
"a","fir",1
"a","firefighter",1
"a","firm",5
"a","first",33
"a","fish",8
"a","fisherman",1
"a","fishing",4
"a","fisk",1
"a","fitness",4
"a","fitted",1
"a","fitting",3
"a","five",9
"a","fixation",1
"a","fixed",3
"a","flag",2
"a","flamboyant",1
"a","flames",1
"a","flap",1
"a","flapper",1
"a","flash",5
"a","flashback",2
"a","flashing",2
"a","flask",1
"a","flat",9
"a","flavor",2
"a","flavorful",1
"a","flaw",3
"a","fleece",1
"a","fleeting",2
"a","flexibility",1
"a","flexible",2
"a","flick",1
"a","flight",9
"a","flintstones",1
"a","flip",1
"a","flock",3
"a","flood",3
"a","floral",1
"a","flower",5
"a","flowerbed",1
"a","fluid",3
"a","flushed",1
"a","fly",6
"a","flying",4
"a","focal",2
"a","foe",1
"a","follow",18
"a","follower",3
"a","following",4
"a","fondness",2
"a","food",17
"a","foodie",2
"a","fool",9
"a","foolish",2
"a","football",8
"a","footbridge",2
"a","foothold",2
"a","footnote",1
"a","for",16
"a","forced",2
"a","foreign",7
"a","forensiballistispecialist",1
"a","fork",3
"a","form",5
"a","former",38
"a","formerly",2
"a","formless",1
"a","fortune",4
"a","forum",1
"a","fountain",2
"a","four",18
"a","fraction",3
"a","fracture",2
"a","frame",3
"a","freakin",1
"a","freakish",1
"a","free",49
"a","freebie",2
"a","freedom",2
"a","freight",3
"a","french",10
"a","frenzied",1
"a","fresh",13
"a","freshness",1
"a","friday",6
"a","fried",3
"a","friend",63
"a","friendly",7
"a","friends",4
"a","friendship",3
"a","frightened",1
"a","from",2
"a","front",4
"a","frustrated",1
"a","ft",2
"a","full",61
"a","fullness",1
"a","fully",3
"a","fun",36
"a","function",2
"a","fundamental",1
"a","fungous",1
"a","funky",1
"a","funnel",1
"a","funny",16
"a","further",4
"a","fuse",1
"a","future",11
"a","futures",1
"a","fyi",2
"a","g",3
"a","galaxy",1
"a","galley",1
"a","gallon",7
"a","game",78
"a","gaming",1
"a","gammy",2
"a","gap",4
"a","garage",3
"a","garden",6
"a","gardener",1
"a","gargantuan",1
"a","gas",6
"a","gasbag",1
"a","gash",1
"a","gateway",3
"a","geek",4
"a","general",13
"a","generidivide",1
"a","generiterm",1
"a","generous",5
"a","gentle",3
"a","genuine",6
"a","genuinely",2
"a","georgian",1
"a","get",4
"a","ghost",2
"a","giant",17
"a","gift",34
"a","gifted",1
"a","gig",3
"a","gimmick",2
"a","ginormous",3
"a","girl",40
"a","girlfriend",7
"a","give",1
"a","giveaway",3
"a","given",6
"a","glass",13
"a","glaze",1
"a","glimpse",7
"a","global",8
"a","glorious",6
"a","gloriously",1
"a","glossy",1
"a","glowing",1
"a","go",7
"a","goal",14
"a","goblet",1
"a","godly",1
"a","goes",2
"a","going",4
"a","golden",5
"a","goldfish",2
"a","golf",3
"a","gong",1
"a","good",382
"a","google",2
"a","goose",2
"a","gorgeous",3
"a","gospel",1
"a","gossip",1
"a","goth",1
"a","gourd",1
"a","governance",1
"a","government",9
"a","grab",2
"a","grabby",2
"a","gracious",1
"a","grade",3
"a","grammar",3
"a","grand",13
"a","graphiartist",1
"a","grass",1
"a","grateful",1
"a","gravestone",1
"a","graveyard",1
"a","gray",3
"a","greased",1
"a","great",423
"a","greater",7
"a","green",10
"a","greenhouse",2
"a","griddle",1
"a","grill",2
"a","grinning",2
"a","grip",4
"a","grossly",1
"a","ground",3
"a","group",56
"a","grove",1
"a","growing",8
"a","grown",7
"a","grudge",3
"a","grueling",1
"a","gruesome",2
"a","guardian",2
"a","guest",9
"a","guide",2
"a","guideline",1
"a","guilt",1
"a","guilty",3
"a","guitar",3
"a","guitarist",1
"a","gulp",1
"a","gun",1
"a","gunfight",2
"a","gunshot",1
"a","guppy",1
"a","guru",1
"a","gut",1
"a","guy",43
"a","guys",1
"a","ha",2
"a","haber",1
"a","habit",2
"a","hack",2
"a","hair",7
"a","haitian",1
"a","half",58
"a","halloween",2
"a","hamiltonian",1
"a","hand",8
"a","handbag",2
"a","handful",22
"a","handle",3
"a","hands",1
"a","handwriting",1
"a","handyman",1
"a","hanging",1
"a","hangover",1
"a","hankie",1
"a","haphazard",1
"a","happy",30
"a","hard",39
"a","hardcore",2
"a","hardener",1
"a","hardness",1
